"Artist and Title","Days","Pk","(x?)","Total","Today"
"Summer Cem - Diamonds","75","28","","351,340","0"
"Enrique Iglesias - EL BAÑO","110","78","","351,090","0"
"Nimo - KARMA","79","30","","351,001","0"
"Roméo Elvis - Soleil","59","96","","350,808","0"
"Джаро & Ханза - Королева танцпола","94","75","","350,801","0"
"Yamê - Bécane - A Colors Show","91","29","","350,540","0"
"Минаева - Шоколадка","108","54","","350,526","0"
"Ufo361 - Emotions","75","41","","350,277","0"
"SLAVA SKRIPKA - Бобр","102","75","","350,135","0"
"9 Грамм - Рапапам","--","320","","350,115","100"
"Taylor Swift - The Man","35","9","","349,819","0"
"Ultimo - ALTROVE","110","105","","349,671","0"
"Lo & Leduc - 079","--","230","","349,619","0"
"Rag'n'Bone Man - Skin","81","56","","349,204","0"
"RAF Camora & Bonez MC - Ohne mein Team","11","171","","349,089","223"
"24kGoldn, Justin Bieber, J Balvin & iann dior - Mood","64","18","","348,750","0"
"Леша Свик - Самолёты","42","160","","348,639","0"
"Beyoncé - ALIEN SUPERSTAR","48","4","","348,636","0"
"MK - Dior","112","57","","348,497","0"
"Annalisa - Esibizionista","125","109","","348,433","916"
"The Cratez, Bausa & Maxwell - Skifahren","84","38","","348,371","0"
"Anne-Marie x Aitch - PSYCHO","127","65","","348,178","0"
"Chase & Status & Stormzy - BACKBONE","101","63","","347,594","0"
"VIZE & Tokio Hotel - White Lies","91","50","","347,561","0"
"Zivert - Три Дня Любви","48","79","","347,486","125"
"Король и Шут - Лесник","5","157","","347,428","468"
"Quevedo & Myke Towers - Playa Del Inglés","11","148","","347,410","0"
"Cat Burns - Go","128","75","","347,182","0"
"Ninho - No Life","92","38","","346,969","0"
"Elodie - Bagno a mezzanotte","141","109","","346,924","0"
"Alle Farben - Alright","81","62","","346,835","0"
"Cali - Взять взять","97","90","","346,713","0"
"Anuel AA & Karol G - Secreto","81","98","","346,631","0"
"BTS - Body to Body","43","2","(x3)","346,576","2,277"
"Marracash & Guè - Insta Lova","51","106","","346,488","120"
"Lil Kleine - Loterij","80","126","","346,286","0"
"Nio Garcia, Casper Magico & Bad Bunny - Te Boté","96","44","","346,167","0"
"Gafur & JONY - Lollipop","88","74","","346,062","0"
"Le classico organisé - Le classico organisé","84","32","","346,042","0"
"The Minds Of 99 - Under Din Sne","--","479","","345,914","76"
"Fred De Palma & Ana Mena - Se iluminaba","--","313","","345,851","0"
"ANNA ASTI - Сорри","60","83","","345,643","0"
"Mahmood - Rapide","122","103","","345,490","0"
"ЛСП - Монетка","45","140","","345,475","0"
"Beyoncé - Crazy In Love","3","75","","345,425","0"
"Lost Frequencies - Rise","48","145","","345,317","0"
"Leon Machère - Copacabana","50","141","","345,235","0"
"James Arthur - Empty Space","103","41","","345,058","0"
"Billie Eilish - bellyache","3","178","","344,857","11"
"GAYAZOV$ BROTHER$ - Я, ТЫ и МОРЕ","97","119","","344,518","0"
"Shiva - Vorrei","75","99","","343,999","108"
"Olivia Dean - A Couple Minutes","111","66","","343,728","1,251"
"Ultimo - Vieni nel mio cuore","112","136","","343,551","0"
"Whitney Houston - I Wanna Dance With Somebody","17","25","","343,453","160"
"Don Patricio - Contando Lunares","--","246","","342,988","0"
"Rita Ora - Girls","63","16","","342,921","0"
"N.E.R.D & Rihanna - Lemon","62","15","","342,643","0"
"Tony Effe, Bresh & Tedua - DOPO LE 4","84","93","","342,567","0"
"Kygo, Zara Larsson & Tyga - Like It Is","88","40","","342,345","0"
"Ninho - Mamacita","112","90","","342,327","0"
"Ozuna - Caramelo","108","79","","342,275","0"
"Beret - Lo siento","--","278","","342,062","0"
"Capital Bra & Samra - Nummer 1","70","36","","341,841","0"
"Bresh & Pinguini Tattici Nucleari - Nightmares","123","92","","341,798","0"
"Макс Корж - Горы по колено","16","139","","341,635","0"
"Aarne, BUSHIDO ZHO & Liza Evans - РЕВНУЮ","107","93","","341,591","0"
"Jazzdauren - Дарите женщинам цветы","96","86","","341,238","0"
"Shakira & Rauw Alejandro - Te Felicito","48","129","","341,116","0"
"Azet & Zuna - Lelele","89","38","","341,105","0"
"ROSALÍA & Ozuna - Yo x Ti, Tu x Mi","99","71","","340,799","0"
"Aya Nakamura & Joé Dwèt Filé - Baddies","98","40","","340,761","103"
"Billie Eilish - idontwannabeyouanymore","27","105","","340,736","0"
"Feid - CHORRITO PA LAS ANIMAS","--","262","","340,638","0"
"Raf Camora - Andere Liga","59","51","","340,531","0"
"Baby Gang, Omega, Higashi & Roberto Ferrante - Tu Me Quieres","55","120","","340,471","0"
"Sofia Reyes - 1, 2, 3","131","76","","340,000","0"
"GIMS & Damso - TU ME RENDS BÊTE","86","35","","339,898","0"
"Haftbefehl - 069","84","31","","339,879","338"
"EMIN - Камин","81","87","","339,852","0"
"Rauw Alejandro & Chencho Corleone - Desesperados","--","234","","339,589","0"
"Quevedo & Aitana - GRAN VÍA","--","228","","339,561","126"
"MACAN & Basta - Пусть Бог будет рядом с твоими планами","98","68","","339,118","125"
"Fedez & Robert Miles - Bimbi per strada","106","117","","339,071","0"
"Glockenbach - Brooklyn","116","70","","338,988","0"
"Martin Garrix & Dua Lipa - Scared to Be Lonely","72","66","","338,961","0"
"ELI - Change Your Mind","115","86","","338,935","0"
"Chappell Roan - The Subway","63","9","","338,909","0"
"The Chainsmokers - Closer","66","79","","338,757","0"
"Shakka - Man Down","63","156","","338,364","0"
"MONATIK - Vitamin D","93","98","","338,332","0"
"Fred De Palma - Paloma","117","110","","338,272","0"
"MORGENSHTERN & Тимати - El Problema","97","107","","338,014","0"
"Bebe Rexha - Meant to Be","81","36","","337,686","0"
"ClockClock - Someone Else","118","77","","337,264","0"
"Don Diablo - Survive","102","116","","336,523","0"
"Guè & Rose Villain - Oh Mamma Mia","86","90","","336,261","0"
"Billie Eilish - NDA","50","11","","336,158","0"
"Скриптонит - Не забирай меня с пати","57","145","","336,144","0"
"Rain Radio & DJ Craig Gorman - Talk About","98","85","","336,049","0"
"Vicco - Nochentera","--","268","","335,804","0"
"VIZE, Joker Bra & Leony - Paradise","56","87","","335,676","0"
"Sfera Ebbasta & Rvssian - Mamma Mia","96","73","","335,658","0"
"Gazo & Tiakola - NOTRE DAME","77","34","","335,607","0"
"Capital Bra, Clueso & KC Rebell - Andere Welt","92","42","","335,232","0"
"XXXTENTACION - BAD","35","8","","335,229","0"
"Ivan Valeev - Novella","102","112","","335,131","0"
"B Young - Jumanji","98","93","","334,991","0"
"Dani Fernández - Me has invitado a bailar","--","272","","334,909","112"
"Morgan Wallen - Last Night","8","180","","334,581","0"
"RIN - Monica Bellucci","103","70","","334,550","0"
"Martin Garrix - We Are the People","86","29","","334,349","0"
"AYLIVA - In deinen Armen","80","52","","334,179","0"
"Ghali - Cara Italia","92","102","","334,116","0"
"FILV - BALENCIAGA","79","76","","334,029","0"
"OneRepublic - West Coast","134","81","","333,936","0"
"Nicki Minaj - Bed","78","18","","333,616","0"
"Sevn Alias, Lil Kleine & Boef - Patsergedrag","116","119","","333,544","0"
"Леша Свик - Дым","77","167","","333,477","0"
"MACAN - Заново","120","94","","333,307","0"
"Madame & Sfera Ebbasta - TU MI HAI CAPITO","110","105","","333,091","0"
"BoomDaBash & Alessandra Amoroso - Mambo Salentino","89","117","","332,766","0"
"Nekfeu - Dans l'univers","69","41","","332,633","0"
"Fabri Fibra - Stavo pensando a te","106","111","","332,510","0"
"Анет Сай - СЛЁЗЫ","105","92","","332,421","0"
"KAMRAD - Be Mine","112","85","","332,139","0"
"Mr.Rain - Ipernova","96","120","","332,074","0"
"Ana Mena - Madrid City","--","261","","331,777","0"
"Jax Jones & Years & Years - Play","96","38","","331,772","0"
"Tony Effe, Emma & Takagi & Ketra - TAXI SULLA LUNA","87","136","","331,430","0"
"Samra & Capital Bra - Huracan","63","34","","331,177","0"
"Snelle & Maan - Blijven Slapen","--","216","","331,115","0"
"Selena Gomez - Rare","49","7","","331,054","0"
"AJ Tracey & Mabel - West Ten","110","91","","331,020","0"
"Aitch & AJ Tracey - Rain","114","80","","330,913","0"
"5УТРА - Давай сбежим","4","194","","330,414","247"
"Trois Cafés Gourmands - À nos souvenirs","48","147","","330,389","0"
"Alan Walker - Darkside","67","68","","330,387","0"
"Stormzy - Blinded By Your Grace, Pt. 2","76","105","","329,895","0"
"Ghali - Happy Days","98","121","","329,860","0"
"Davido - UNAVAILABLE","94","51","","329,613","0"
"Genezio & Niska - OG","98","42","","329,402","627"
"AJ Tracey & Not3s - Butterflies","86","98","","328,964","0"
"LOBODA - Родной","96","79","","328,888","0"
"Maître Gims - Caméléon","105","70","","328,746","0"
"Topic & A7S - Kernkraft 400","102","83","","328,718","0"
"Artik & Asti - Она не я","79","77","","328,606","0"
"Guè - Veleno","55","98","","328,456","0"
"PLK & Gazo - Ça mène à rien","101","33","","328,342","0"
"Егор Крид - Цвет настроения чёрный","105","104","","328,333","0"
"Niska - Du lundi au lundi","89","51","","328,268","0"
"Luis Fonsi & Stefflon Don - Calypso","101","64","","327,815","0"
"Travis Scott - THANK GOD","39","2","(x1)","327,766","0"
"Ninho - OG","91","37","","327,741","0"
"6ix9ine - MALA","87","35","","327,715","0"
"Achille Lauro - Bam Bam Twist","47","166","","327,577","0"
"Leto - Tes parents","74","80","","327,287","0"
"Kendrick Lamar - Money Trees","12","41","","327,130","106"
"ZZ & Timar - 4h44","68","63","","326,852","132"
"MiyaGi & Эндшпиль - Дама","56","90","","326,848","6"
"Lil Uzi Vert - What You Saying","66","19","","326,749","0"
"Capo Plaza - Non Fare Così","55","105","","326,568","154"
"Макс Корж - Шантаж","76","112","","326,516","0"
"Elodie - Black Nirvana","112","105","","326,483","0"
"Alonzo - TRAFICANTE","107","79","","326,444","0"
"Jaap Reesema & Pommelien Thijs - Nu Wij Niet Meer Praten","65","123","","326,363","0"
"Olivia Dean - Let Alone The One You Love","103","70","","326,220","718"
"Taylor Swift - Gorgeous","58","16","","326,111","0"
"Grand Corps Malade & Camille Lellouche - Mais je t'aime","46","135","","326,028","0"
"Wiley, Stefflon Don & Sean Paul - Boasty","79","105","","325,970","0"
"Sangiovanni & Aitana - mariposas","--","241","","325,966","0"
"Konfuz - Кайф ты поймала","--","224","","325,920","0"
"Dardan - Coco Mama","77","49","","325,918","0"
"Baby Gang, El Alfa, Omega & Roberto Ferrante - Kriminal","104","102","","325,818","228"
"Rauw Alejandro & Camilo - Tattoo","--","246","","325,796","0"
"Eno - Mercedes","73","54","","325,374","0"
"Luude & Mattafix - Big City Life","96","86","","325,112","0"
"Rocco Hunt, Elettra Lamborghini & Lola Índigo - Caramello","124","85","","325,097","0"
"Ed Sheeran - Remember The Name","49","11","","325,022","0"
"Eminem - Venom","57","32","","324,883","0"
"Werenoi - Dans un verre","64","34","","324,864","160"
"Kaaris - Diarabi","105","77","","324,738","0"
"Calvin Harris - This Is What You Came For","8","165","","324,735","0"
"Shirin David - Lieben wir","76","34","","324,570","0"
"Rihanna - Breakin' Dishes","73","57","","324,540","0"
"Tones And I - Ur So F**kInG cOoL","80","59","","324,375","0"
"Lucio Corsi - Volevo essere un duro","90","13","","324,313","0"
"Khalid - Saturday Nights","85","61","","324,181","0"
"Tim Bendzko - Hoch","56","114","","324,136","0"
"6ix9ine & Nicki Minaj - TROLLZ","39","5","","323,986","0"
"Endor - Pump It Up","78","66","","323,492","0"
"Gradur, SDM & Rsko - TI TI TI","96","43","","323,480","0"
"RAF Camora & reezy - CONNECTED","67","31","","323,304","0"
"P!nk - Beautiful Trauma","90","31","","323,255","0"
"Kpoint - Ma 6t a craqué","86","93","","323,077","0"
"Calin & Viktor Sheen - Dívej","--","465","","322,943","220"
"David Guetta & Sia - Let's Love","71","30","","322,828","0"
"Kanye West - Praise God","50","6","","322,564","0"
"Xcho - Ты и Я","32","105","","322,278","16"
"Sigala, Ella Eyre & Meghan Trainor - Just Got Paid","83","65","","322,054","0"
"Ninho - Money","75","80","","321,825","0"
"RIN - Alien","77","49","","321,587","0"
"Taylor Swift - Maroon","40","6","","321,566","0"
"Justin Timberlake - Selfish","69","14","","321,388","0"
"Kaleb Di Masi, Sfera Ebbasta & Rvfv - Hace Calor","105","93","","321,223","0"
"MK, Jonas Blue & Becky Hill - Back & Forth","69","91","","321,191","0"
"Rvssian & Sfera Ebbasta - Pablo","101","87","","321,188","0"
"Bouss - Printemps","71","120","","321,152","836"
"Shakira - Perro Fiel","7","158","","321,050","0"
"Craig David - I Know You","96","40","","320,977","0"
"Drake & Michael Jackson - Don't Matter To Me","55","17","","320,955","0"
"Boney M. - Mary's Boy Child / Oh My Lord","58","62","","320,921","0"
"Taylor Swift - exile","48","11","","320,355","0"
"AYLIVA - Scheine zählen","92","37","","320,285","0"
"Jul - Triste everyday","124","77","","320,263","2,270"
"BTS - Boy With Luv","49","9","","320,243","0"
"Post Malone - Die For Me","49","16","","320,229","0"
"Артём Качер & Artik & Asti - Грустный дэнс","--","401","","320,181","357"
"Nimo & Hava - KEIN SCHLAF","70","32","","320,134","0"
"Пошлая Молли - Адская колыбельная","99","69","","320,081","0"
"Becky Hill - Better Off without You","96","106","","320,072","0"
"Little Mix - Power","85","69","","319,915","0"
"Мот & Zivert - Паруса","11","177","","319,895","5"
"Bruno Mars - Risk It All","64","6","","319,811","1,885"
"Pashanim - Hauseingang","--","292","","319,718","0"
"Rema - Charm","106","46","","319,707","0"
"Alessandra Amoroso - Mezzo Rotto","106","95","","319,665","0"
"Strange - Зависай","92","98","","319,479","0"
"Angèle - Jalousie","57","79","","319,467","0"
"Olivia Rodrigo - brutal","56","15","","319,333","0"
"Robin Schulz & Piso 21 - Oh Child","84","48","","319,254","0"
"Miyagi & Andy Panda - Utopia","51","104","","318,988","0"
"James Hype - Waterfalls","98","68","","318,794","922"
"Travis Scott - TELEKINESIS","54","18","","318,696","0"
"TIGO & Migrant - Планы на завтра","106","64","","318,517","0"
"Rosalía - Malamente","--","249","","318,450","0"
"Anitta - Envolver","78","59","","318,384","0"
"Kris Kross Amsterdam & The Boy Next Door - Whenever","65","65","","317,993","0"
"Lily Allen - Somewhere Only We Know","88","79","","317,970","0"
"Lizzy McAlpine - ceilings","72","23","","317,878","0"
"Taylor Swift - You're On Your Own, Kid","40","7","","317,698","0"
"Roxy Dekker - Satisfyer","--","278","","317,635","0"
"Макс Барских - Туманы","37","161","","317,620","0"
"Guè Pequeno - Bling Bling","79","117","","317,421","0"
"Yung Yury & Damn Yury - TABU.","87","80","","317,297","0"
"Kehlani - Folded","92","84","","317,180","265"
"Rocco Hunt & Ana Mena - Un bacio all'improvviso","101","99","","316,954","0"
"Queen - Don't Stop Me Now","25","78","","316,895","0"
"The Cratez & Bonez MC - Honda Civic","67","30","","316,826","0"
"JONY - Титры","90","58","","316,663","0"
"1PLIKÉ140 - CANADA","105","51","","316,466","0"
"Toploader - Dancing In the Moonlight","1","158","","316,406","0"
"Robin Schulz & Felix Jaehn - One More Time","78","71","","316,260","0"
"ArrDee - Flowers","91","55","","316,252","0"
"Mahmood, Sfera Ebbasta & Feid - Dorado","91","90","","316,215","0"
"George Ezra - Hold My Girl","65","102","","315,957","0"
"Colapesce & Dimartino - Musica leggerissima","93","91","","315,955","0"
"SLAVA MARLOW - ТЫ ГОРИШЬ КАК ОГОНЬ","88","61","","315,845","0"
"Saiko, Dei V & JC Reyes - BADGYAL","--","221","","315,590","99"
"Gue' Pequeno - Lamborghini","119","90","","315,490","0"
"RAF Camora - Out Of The Dark","53","39","","315,457","0"
"SIRA & BHZ - Powerade","28","104","","315,438","0"
"Ninho - La puerta","63","45","","315,158","0"
"Toby Romeo & YouNotUs - What It Feels Like","127","71","","314,998","0"
"Lil Baby & Gunna - Drip Too Hard","26","99","","314,644","0"
"Luciano - PEPPERMINT","70","36","","314,596","0"
"Disiz & Damso - RENCONTRE","77","34","","314,559","0"
"VEIGEL - Прощай","104","93","","314,547","0"
"Loredana - Kein Plan","63","34","","314,292","0"
"JEY BROWNIE & FLEM KGB - GTB","89","45","","314,209","0"
"MARUV - Siren Song","85","101","","314,099","0"
"13 Organisé - Bande organisée","3","192","","313,961","0"
"Machine Gun Kelly & blackbear - my ex's best friend","62","30","","313,935","0"
"Ed Sheeran - Best Part of Me","49","13","","313,716","0"
"Doris Day - Here Comes Santa Claus","70","29","","313,699","0"
"Metro Boomin & Future - Too Many Nights","41","12","","312,953","0"
"Moha k - Vroum Vroum","86","44","","312,903","0"
"Capo - Lambo Diablo GT","71","83","","312,704","0"
"Ritt Momney - Put Your Records On","74","30","","312,663","0"
"Niska - Medellín","69","41","","312,493","0"
"Anne-Marie & Little Mix - Kiss My","98","36","","312,435","0"
"Harry Styles - Daylight","43","5","","311,423","0"
"Domiziana - Ohne Benzin","101","40","","311,416","0"
"Aitana - SUPERESTRELLA","--","228","","311,389","897"
"Bruno Mars - That’s What I Like","71","55","","311,338","0"
"187 Strassenbande - Millionär","56","49","","311,284","0"
"Seysey & Bolémvn - Mia","86","31","","311,098","0"
"Lartiste - Chocolat","81","67","","311,028","0"
"Fred De Palma - D'estate non vale","49","123","","310,996","0"
"Annalisa - Maschio","121","129","","310,593","0"
"The Kid LAROI - Thousand Miles","56","9","","310,455","0"
"Ana Mena & Belinda - LAS 12","--","249","","310,410","0"
"Lazza & Sfera Ebbasta - FENTANYL","67","85","","310,385","0"
"Ultimo - Tutto questo sei tu","89","101","","310,172","0"
"DaBaby - BOP","78","53","","309,971","0"
"Моя Мишель & Dose - Пташка","79","125","","309,941","0"
"Lola Índigo & Quevedo - EL TONTO","--","247","","309,864","0"
"Orelsan - Rêves bizarres","76","40","","309,397","0"
"ATL - Танцуйте","1","197","","309,297","0"
"Fedez - BATTITO","86","54","","309,095","0"
"Ханна - Пули","112","128","","308,820","0"
"UZI - PAPARAZZI","--","546","","308,739","296"
"Ariana Grande - Into You","53","84","","308,690","1,154"
"Bushido - Für Euch alle","89","44","","308,542","0"
"Baby K - Non mi basta più","99","109","","308,421","0"
"Burna Boy - On the Low","--","223","","308,324","0"
"Stormzy - Crown","69","56","","307,983","0"
"MIST - So High","86","99","","307,979","0"
"BLACKPINK - How You Like That","77","18","","307,934","0"
"Slavik Pogosov - Монро","98","71","","307,930","0"
"Yandel & Feid - Yandel 150","--","216","","307,843","0"
"GIMS, SativaMusic & Morad - SEYA","100","69","","307,747","0"
"PASHANIM - erstersommerohnedich","61","35","","307,665","268"
"DYSTINCT - Business","96","39","","307,426","0"
"Coldplay - Hymn for the Weekend","40","85","","307,164","0"
"Bruno Mars - 24K Magic","36","20","","307,102","0"
"Элджей - Рваные джинсы","14","182","","307,006","0"
"Melendi - Déjala Que Baile","--","262","","306,958","0"
"Taylor Swift - Honey","36","12","","306,933","0"
"David Guetta, Alphaville & Ava Max - Forever Young","102","70","","306,772","0"
"Taylor Swift - Wildest Dreams","46","13","","306,625","0"
"Serena Brancale & Alessandra Amoroso - SERENATA","111","119","","306,624","0"
"WHITE GALLOWS - Сердце","97","82","","306,575","0"
"Raf Camora & AriBeatz - Perfekt","57","39","","306,572","0"
"Taylor Swift - Guilty as Sin","47","12","","306,523","0"
"Hailee Steinfeld & BloodPop® - Capital Letters","71","31","","306,436","0"
"Marco Schuitmaker - Engelbewaarder","--","273","","306,416","0"
"Luciano - SCHMETTERLING","65","35","","306,415","0"
"Ninho - Jeune Lossa","73","56","","306,118","0"
"Korol I Shut - Лесник","36","158","","306,098","0"
"Vize - Stars","19","165","","305,755","0"
"Grivina - Я хочу","80","130","","305,365","0"
"Aitana - 6 DE FEBRERO","--","258","","305,209","321"
"Mora & C. Tangana - DROGA","--","245","","305,160","253"
"Werenoi - Escorte","80","46","","305,073","0"
"Nina Chuba & Chapo102 - Ich hass dich","45","60","","305,029","0"
"Arcángel & Bad Bunny - La Jumpa","--","204","","304,986","0"
"Lady Gaga - Just Dance","2","124","","304,908","854"
"JONY & The Limba - Босс","69","60","","304,653","19"
"Suzan & Freek - Goud","1","191","","304,525","0"
"James Hype, Miggy Dela Rosa & Lazza - Ferrari","87","83","","304,386","0"
"Bonez MC - Fuckst mich nur ab","56","32","","304,357","0"
"Drake - First Person Shooter","43","4","","303,907","0"
"Feduk - Хлопья летят наверх","68","72","","303,644","0"
"Bresh - La tana del granchio","74","100","","303,351","0"
"Adele - Can I Get It","38","7","","303,295","0"
"Wet Bed Gang - Devia Ir","--","404","","303,267","133"
"Tom Zanetti - Didn't Know","75","78","","302,850","0"
"Tedua - Paradiso Artificiale","26","104","","302,739","0"
"Lunay, Daddy Yankee & Bad Bunny - Soltera","54","113","","302,735","0"
"DELLAFUENTE & Morad - Manos Rotas","--","224","","302,730","0"
"Robin Schulz - Sweet Goodbye","66","136","","302,487","0"
"Miksu / Macloud, Summer Cem & Luciano - XXL","56","33","","302,386","0"
"Carl Brave - Posso","79","137","","302,076","0"
"Coldplay & Big Sean - Miracles","63","42","","301,887","0"
"MORGENSHTERN - Yung Hefner","71","73","","301,824","0"
"Ninho - La maison que je voulais","90","52","","301,699","0"
"La Mano 1.9 - Sexy Woman","50","83","","301,458","0"
"J Balvin & Bad Bunny - QUÉ PRETENDES","60","54","","300,708","0"
"Twenty One Pilots - Stressed Out","--","223","","300,601","0"
"Kanye West - Yikes","34","2","(x3)","300,365","0"
"MERO - Wolke 10","66","32","","300,360","0"
"Tion Wayne & La Roux - IFTK","101","75","","300,257","0"
"Maes - Galactic","87","42","","300,171","0"
"SCH - Mayday","51","36","","300,055","0"
"Gradur & Franglish - Trucs de choses","96","86","","300,007","0"
"Tom Grennan - How Does It Feel","82","102","","299,946","0"
"La Rvfleuze - Argent Sale - A COLORS SHOW","74","34","","299,808","2,541"
"Mae Stephens - If We Ever Broke Up","85","38","","299,797","0"
"Artie 5ive - 7ELEVEN","68","133","","299,787","388"
"Ed Sheeran - The Joker And The Queen","42","10","","299,614","0"
"Ninho - Jusqu'à minuit","56","55","","299,467","0"
"Separ, Jerry Lee & P T K - Sunset","--","544","","299,409","252"
"Леша Свик - Стерва","81","121","","299,259","0"
"Capo Plaza - Uno squillo","16","170","","299,222","0"
"Veysel - UFF","85","45","","299,083","0"
"Le classico organisé - cœur de pirate","84","51","","298,733","0"
"Rammstein - RADIO","47","23","","298,424","5"
"Bouss - Angela","82","94","","298,370","99"
"Claude - Ladada","--","223","","298,334","0"
"Tom Gregory - River","37","155","","298,309","0"
"Metro Boomin, Future & Chris Brown - Superhero","68","9","","297,897","0"
"Mimi Webb - Red Flags","104","78","","297,865","0"
"Coez - Come nelle canzoni","89","116","","297,773","0"
"Макс Барских & Zivert - BESTSELLER","98","119","","297,752","0"
"Landy - Médusa","71","72","","297,722","0"
"ZAYN & Taylor Swift - I Don’t Wanna Live Forever","51","86","","297,258","0"
"Post Malone - Enemies","44","15","","297,133","0"
"Скриптонит - Привычка","54","95","","297,120","0"
"Travis Scott - FRANCHISE","35","7","","297,010","0"
"KAROL G & Tiësto - CONTIGO","--","237","","296,938","55"
"Nicky Jam - Live It Up","69","28","","296,886","0"
"Mahmood - RA TA TA","93","96","","296,880","0"
"Neima Ezza - LEI","70","149","","296,752","0"
"Yungest Moonstar, Neffa & tha Supreme - uNa DiReZioNe giUsTa","78","132","","296,738","0"
"DYSTINCT - Tek Tek","97","44","","296,734","0"
"Ольга Серябкина - Бывшие","101","113","","296,642","0"
"Mustard & Roddy Ricch - Ballin’","66","54","","296,600","0"
"Ziak - Fixette","93","45","","296,585","0"
"Harry Styles - Satellite","60","16","","296,439","0"
"Dimitri Vegas & Like Mike, Tiësto & Dido - Thank You","44","112","","296,391","0"
"Billie Eilish - ilomilo","39","16","","296,274","0"
"Carl Brave x Franco 126 - Sempre in due","--","222","","296,226","0"
"Maes & Ninho - SURVIE","97","52","","296,208","0"
"GLK - 93%","72","114","","296,188","0"
"Alphaville - Forever Young","72","64","","296,127","4"
"Emis Killa - Rollercoaster","105","129","","296,096","0"
"Dave - Professor X","80","92","","296,026","0"
"Migos - Stir Fry","67","40","","295,876","0"
"East 17 - Stay Another Day","60","121","","295,863","0"
"INSTASAMKA - LIPSI HA","72","65","","295,838","0"
"Madame - VOCE","93","104","","295,818","0"
"Wizkid - Essence","43","67","","295,725","0"
"Zartmann, Ski Aggu & Dauner - wie du manchmal fehlst","78","66","","295,703","0"
"Pinguini Tattici Nucleari - La storia infinita","52","159","","295,651","0"
"Sfera Ebbasta - Happy Birthday","82","77","","295,534","0"
"RASA - Пчеловод","60","105","","295,438","0"
"Samra - Harami","63","35","","295,329","0"
"Murda & Ezhel - Aya","--","382","","295,258","0"
"Camilo - Vida de Rico","--","284","","295,231","0"
"Apache 207 - Wenn das so bleibt","65","34","","295,224","0"
"Daft Punk - Get Lucky","79","29","","294,737","0"
"Samra & Capital Bra - Zombie","72","34","","294,670","0"
"Eno - Ferrari","63","37","","294,623","0"
"Jessica Darrow - Surface Pressure","78","41","","294,557","0"
"SwitchOTR - Coming for You","112","90","","294,273","0"
"Tananai - ABISSALE","80","148","","294,229","0"
"Felix Jaehn, Hight & Alex Aiono - Hot2Touch","92","64","","294,129","0"
"Capital Bra & Samra - Wir ticken","48","33","","293,919","0"
"Tobias Rahim - Flyvende Faduma","--","412","","293,418","49"
"Michael Bublé - White Christmas","55","25","","293,349","0"
"Sia - Gimme Love","67","43","","293,172","0"
"BUSHIDO ZHO, Scally Milano & Полка - днями и ночами","102","79","","293,153","615"
"Feid & Young Miko - Classy 101","--","262","","293,115","0"
"Marracash, tha Supreme & Sfera Ebbasta - Supreme","107","101","","293,018","0"
"Aventura & Bad Bunny - Volví","40","55","","292,976","0"
"Fabri Fibra & Tredici Pietro - Che Gusto C'è","96","122","","292,826","0"
"La Fouine & L2B - Flying Blue","74","58","","292,817","0"
"BANNERS - Someone To You","--","208","","292,601","0"
"Troye Sivan - Rush","77","16","","292,522","0"
"Helena - Mauvais garçon","52","87","","292,518","0"
"Ernia & Kid Yugi - FELLINI","100","87","","292,462","0"
"Kapo - Ohnana","--","203","","292,420","0"
"Leony - Somewhere in Between","100","63","","292,418","0"
"Luciano - La Haine","52","30","","292,396","0"
"PLK - Un peu de haine","64","46","","292,174","0"
"Apache 207 - Angst","63","41","","291,950","0"
"Кэнни - Ворона","104","74","","291,833","692"
"Taylor Swift - Midnight Rain","36","8","","291,809","0"
"МОТ - Мурашками","54","88","","291,655","5"
"Lola Índigo & Manuel Turizo - 1000COSAS","--","219","","291,579","0"
"The Limba - Смузи","80","83","","291,570","0"
"PS1 - Fake Friends","103","114","","291,531","0"
"Sezen Aksu - İhanetten Geri Kalan","--","633","","291,425","0"
"MACAN - TSM","102","92","","291,387","51"
"Samurai Jay & Vito Salamanca - Halo","71","97","","291,368","163"
"Kanye West - Off The Grid","32","4","","291,312","0"
"LINKIN PARK - Over Each Other","48","9","","291,256","0"
"Joel Corry & Becky Hill - HISTORY","76","29","","291,253","0"
"Ballinciaga & David Mokel - Dans På Bordet","--","441","","291,175","40"
"Монеточка - Нимфоманка","90","121","","291,017","0"
"Nimo & Luciano - BAD EYEZ","71","43","","291,012","0"
"Arctic Monkeys - I Bet You Look Good on the Dancefloor","--","323","","290,875","0"
"Gambi - PETETE","92","43","","290,847","0"
"Mark Forster - 194 Länder","59","96","","290,819","0"
"Gazapizm - Unutulacak Dünler","--","468","","290,777","0"
"DA Uzi - Crois-moi","89","56","","290,749","0"
"Yxng Bane - Rihanna","94","132","","290,454","0"
"Zola - TOUTE LA JOURNÉE","74","33","","290,423","0"
"C. Tangana & Nathy Peluso - Ateo","--","238","","290,413","0"
"Dennis Lloyd - Never Go Back","39","56","","290,228","0"
"Sfera Ebbasta - Sciroppo","81","95","","290,160","0"
"Jona Lewie - Stop the Cavalry","83","120","","290,017","0"
"Headie One - Both","73","108","","289,881","0"
"Sebastián Yatra & Myke Towers - Pareja Del Año","--","230","","289,715","0"
